For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::conv2d         1.25%      83.000us        62.98%       4.196ms       1.049ms             4            --  
               aten::unsqueeze         0.53%      35.000us         0.63%      42.000us       8.400us             5            --  
             aten::convolution         3.27%     218.000us        60.66%       4.041ms       1.010ms             4            --  
            aten::_convolution         5.48%     365.000us        57.39%       3.823ms     955.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.38%      25.000us        23.51%       1.566ms       1.566ms             1            --  
    aten::_slow_conv2d_forward        22.73%       1.514ms        23.13%       1.541ms       1.541ms             1            --  
                    aten::view         0.03%       2.000us         0.03%       2.000us       2.000us             1            --  
                 aten::squeeze         0.45%      30.000us         0.53%      35.000us       8.750us             4            --  
                    aten::relu         0.56%      37.000us         2.61%     174.000us      43.500us             4            --  
               aten::clamp_min         2.06%     137.000us         2.06%     137.000us      34.250us             4            --  
      aten::mkldnn_convolution        28.07%       1.870ms        28.40%       1.892ms     630.667us             3            --  
             aten::as_strided_         0.11%       7.000us         0.11%       7.000us       2.333us             3            --  
                     aten::add         0.51%      34.000us         0.51%      34.000us      34.000us             1         4.900  
                     aten::cat         0.51%      34.000us         0.68%      45.000us      45.000us             1            --  
                  aten::narrow         0.09%       6.000us         0.17%      11.000us       2.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.662ms



For N = 80 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         5.10%     664.000us         5.32%     693.000us      46.200us            15            --  
              aten::as_strided         0.66%      86.000us         0.66%      86.000us       2.389us            36            --  
                  aten::select         0.59%      77.000us         0.74%      97.000us       8.083us            12            --  
                   aten::clamp         5.35%     697.000us         5.91%     770.000us     385.000us             2            --  
                      aten::to         0.15%      20.000us         0.67%      87.000us      17.400us             5            --  
                aten::_to_copy         0.32%      42.000us         0.48%      63.000us      12.600us             5            --  
           aten::empty_strided         0.08%      11.000us         0.08%      11.000us       2.200us             5            --  
                   aten::copy_         0.11%      14.000us         0.11%      14.000us       2.800us             5            --  
                    aten::item         0.20%      26.000us         0.21%      27.000us      27.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul         4.80%     625.000us         4.90%     639.000us     639.000us             1         6.400  
                     aten::sub         0.68%      88.000us         0.68%      88.000us      44.000us             2            --  
                     aten::min         0.38%      50.000us         0.42%      55.000us      55.000us             1            --  
                   aten::empty         0.80%     104.000us         0.80%     104.000us       8.000us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.29%      38.000us         2.64%     344.000us      86.000us             4            --  
        aten::reflection_pad2d         1.95%     254.000us         2.35%     306.000us      76.500us             4            --  
                 aten::resize_         3.95%     514.000us         3.95%     514.000us     102.800us             5            --  
                  aten::conv2d         0.71%      92.000us        64.22%       8.367ms       2.092ms             4            --  
               aten::unsqueeze         4.47%     582.000us         4.54%     592.000us     118.400us             5            --  
             aten::convolution        10.41%       1.356ms        62.50%       8.143ms       2.036ms             4            --  
            aten::_convolution         1.13%     147.000us        52.10%       6.787ms       1.697ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.18%      23.000us         6.33%     825.000us     825.000us             1            --  
    aten::_slow_conv2d_forward         2.29%     298.000us         6.16%     802.000us     802.000us             1            --  
                    aten::view         0.03%       4.000us         0.03%       4.000us       4.000us             1            --  
                 aten::squeeze         0.48%      62.000us         0.68%      88.000us      22.000us             4            --  
                    aten::relu         4.99%     650.000us         9.98%       1.300ms     325.000us             4            --  
               aten::clamp_min         4.99%     650.000us         4.99%     650.000us     162.500us             4            --  
      aten::mkldnn_convolution        44.06%       5.740ms        44.63%       5.815ms       1.938ms             3            --  
             aten::as_strided_         0.11%      14.000us         0.11%      14.000us       4.667us             3            --  
                     aten::add         0.35%      46.000us         0.35%      46.000us      46.000us             1         6.400  
                     aten::cat         0.35%      45.000us         0.50%      65.000us      65.000us             1            --  
                  aten::narrow         0.06%       8.000us         0.15%      20.000us       5.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.028ms



For N = 90 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.26%     621.000us         3.94%       1.085ms      72.333us            15            --  
              aten::as_strided         2.01%     553.000us         2.01%     553.000us      15.361us            36            --  
                  aten::select         0.83%     229.000us         0.91%     251.000us      20.917us            12            --  
                   aten::clamp         0.43%     119.000us         0.78%     214.000us     107.000us             2            --  
                      aten::to         0.20%      54.000us         0.56%     153.000us      30.600us             5            --  
                aten::_to_copy         0.16%      44.000us         0.36%      99.000us      19.800us             5            --  
           aten::empty_strided         0.13%      37.000us         0.13%      37.000us       7.400us             5            --  
                   aten::copy_         0.07%      18.000us         0.07%      18.000us       3.600us             5            --  
                    aten::item         0.11%      30.000us         0.11%      31.000us      31.000us             1            --  
     aten::_local_scalar_dense         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::mul         7.14%       1.964ms         7.35%       2.022ms       2.022ms             1         8.100  
                     aten::sub         2.07%     570.000us         2.07%     570.000us     285.000us             2            --  
                     aten::min         0.20%      54.000us         0.21%      58.000us      58.000us             1            --  
                   aten::empty         2.63%     725.000us         2.63%     725.000us      55.769us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.20%      56.000us         1.50%     412.000us     103.000us             4            --  
        aten::reflection_pad2d         0.97%     266.000us         1.29%     356.000us      89.000us             4            --  
                 aten::resize_         0.28%      77.000us         0.28%      77.000us      15.400us             5            --  
                  aten::conv2d         2.56%     704.000us        77.53%      21.338ms       5.335ms             4            --  
               aten::unsqueeze         0.35%      95.000us         0.50%     137.000us      27.400us             5            --  
             aten::convolution         3.68%       1.013ms        74.21%      20.422ms       5.106ms             4            --  
            aten::_convolution         3.17%     872.000us        70.52%      19.409ms       4.852ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.10%      27.000us         9.54%       2.625ms       2.625ms             1            --  
