For N = 10 | Num optimizer steps = 1

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
             aten::thnn_conv2d         0.37%      11.000us        13.49%     405.000us     405.000us             1            --  
    aten::_slow_conv2d_forward        12.75%     383.000us        13.12%     394.000us     394.000us             1            --  
                    aten::view         0.23%       7.000us         0.23%       7.000us       7.000us             1            --  
                 aten::squeeze         1.27%      38.000us         1.40%      42.000us      10.500us             4            --  
                    aten::relu         1.20%      36.000us         2.03%      61.000us      15.250us             4            --  
               aten::clamp_min         0.83%      25.000us         0.83%      25.000us       6.250us             4            --  
      aten::mkldnn_convolution        54.95%       1.650ms        55.68%       1.672ms     557.333us             3            --  
             aten::as_strided_         0.40%      12.000us         0.40%      12.000us       4.000us             3            --  
                     aten::add         0.50%      15.000us         0.50%      15.000us      15.000us             1       100.000  
                     aten::cat         1.63%      49.000us         2.36%      71.000us      71.000us             1            --  
                  aten::narrow         0.50%      15.000us         0.67%      20.000us       5.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.003ms



For N = 20 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.67%      65.000us         3.00%      73.000us       4.867us            15            --  
              aten::as_strided         1.19%      29.000us         1.19%      29.000us       0.806us            36            --  
                  aten::select         2.02%      49.000us         2.22%      54.000us       4.500us            12            --  
                   aten::clamp         1.40%      34.000us         2.92%      71.000us      35.500us             2            --  
                      aten::to         0.29%       7.000us         1.77%      43.000us       8.600us             5            --  
                aten::_to_copy         0.78%      19.000us         1.48%      36.000us       7.200us             5            --  
           aten::empty_strided         0.37%       9.000us         0.37%       9.000us       1.800us             5            --  
                   aten::copy_         0.33%       8.000us         0.33%       8.000us       1.600us             5            --  
                    aten::item         0.12%       3.000us         0.16%       4.000us       4.000us             1            --  
     aten::_local_scalar_dense         0.04%       1.000us         0.04%       1.000us       1.000us             1            --  
                     aten::mul         0.41%      10.000us         0.66%      16.000us      16.000us             1       400.000  
                     aten::sub         0.33%       8.000us         0.33%       8.000us       4.000us             2            --  
                     aten::min         0.41%      10.000us         0.45%      11.000us      11.000us             1            --  
                   aten::empty         0.86%      21.000us         0.86%      21.000us       1.615us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.49%      12.000us         2.51%      61.000us      15.250us             4            --  
        aten::reflection_pad2d         1.65%      40.000us         2.02%      49.000us      12.250us             4            --  
                 aten::resize_         0.25%       6.000us         0.25%       6.000us       1.200us             5            --  
                  aten::conv2d         1.48%      36.000us        83.01%       2.018ms     504.500us             4            --  
               aten::unsqueeze         1.19%      29.000us         1.52%      37.000us       7.400us             5            --  
             aten::convolution         2.55%      62.000us        78.53%       1.909ms     477.250us             4            --  
            aten::_convolution         1.85%      45.000us        75.98%       1.847ms     461.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.21%       5.000us         3.91%      95.000us      95.000us             1            --  
    aten::_slow_conv2d_forward         3.41%      83.000us         3.70%      90.000us      90.000us             1            --  
                    aten::view         0.08%       2.000us         0.08%       2.000us       2.000us             1            --  
                 aten::squeeze         1.48%      36.000us         1.77%      43.000us      10.750us             4            --  
                    aten::relu         1.36%      33.000us         2.47%      60.000us      15.000us             4            --  
               aten::clamp_min         1.11%      27.000us         1.11%      27.000us       6.750us             4            --  
      aten::mkldnn_convolution        69.31%       1.685ms        70.22%       1.707ms     569.000us             3            --  
             aten::as_strided_         0.41%      10.000us         0.41%      10.000us       3.333us             3            --  
                     aten::add         0.49%      12.000us         0.49%      12.000us      12.000us             1       400.000  
                     aten::cat         1.15%      28.000us         1.89%      46.000us      46.000us             1            --  
                  aten::narrow         0.29%       7.000us         0.74%      18.000us       4.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.431ms



For N = 30 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls   Total FLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.53%      62.000us         3.93%      69.000us       4.600us            15            --  
              aten::as_strided         1.08%      19.000us         1.08%      19.000us       0.528us            36            --  
                  aten::select         2.45%      43.000us         2.62%      46.000us       3.833us            12            --  
                   aten::clamp         1.77%      31.000us         3.53%      62.000us      31.000us             2            --  
                      aten::to         0.34%       6.000us         2.11%      37.000us       7.400us             5            --  
                aten::_to_copy         0.97%      17.000us         1.77%      31.000us       6.200us             5            --  
           aten::empty_strided         0.46%       8.000us         0.46%       8.000us       1.600us             5            --  
                   aten::copy_         0.34%       6.000us         0.34%       6.000us       1.200us             5            --  
                    aten::item         0.17%       3.000us         0.23%       4.000us       4.000us             1            --  
     aten::_local_scalar_dense         0.06%       1.000us         0.06%       1.000us       1.000us             1            --  
                     aten::mul         1.94%      34.000us         2.28%      40.000us      40.000us             1       900.000  
                     aten::sub         0.57%      10.000us         0.57%      10.000us       5.000us             2            --  
                     aten::min         0.46%       8.000us         0.51%       9.000us       9.000us             1            --  
                   aten::empty         1.03%      18.000us         1.03%      18.000us       1.385us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.68%      12.000us         3.47%      61.000us      15.250us             4            --  
        aten::reflection_pad2d         2.28%      40.000us         2.79%      49.000us      12.250us             4            --  
                 aten::resize_         1.37%      24.000us         1.37%      24.000us       4.800us             5            --  
                  aten::conv2d         1.88%      33.000us        77.33%       1.358ms     339.500us             4            --  
               aten::unsqueeze         1.65%      29.000us         1.88%      33.000us       6.600us             5            --  
             aten::convolution         2.62%      46.000us        71.58%       1.257ms     314.250us             4            --  
            aten::_convolution         2.28%      40.000us        68.96%       1.211ms     302.750us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.23%       4.000us         7.80%     137.000us     137.000us             1            --  
    aten::_slow_conv2d_forward         6.21%     109.000us         7.57%     133.000us     133.000us             1            --  
                    aten::view         0.11%       2.000us         0.11%       2.000us       2.000us             1            --  
                 aten::squeeze         1.99%      35.000us         2.28%      40.000us      10.000us             4            --  
                    aten::relu         1.82%      32.000us         3.02%      53.000us      13.250us             4            --  
               aten::clamp_min         1.20%      21.000us         1.20%      21.000us       5.250us             4            --  
      aten::mkldnn_convolution        57.92%       1.017ms        58.88%       1.034ms     344.667us             3            --  
             aten::as_strided_         0.40%       7.000us         0.40%       7.000us       2.333us             3            --  
                     aten::add         0.51%       9.000us         0.51%       9.000us       9.000us             1       900.000  
                     aten::cat         1.37%      24.000us         2.05%      36.000us      36.000us             1            --  
                  aten::narrow         0.34%       6.000us         0.68%      12.000us       3.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.756ms



For N = 40 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.85%     106.000us         3.20%     119.000us       7.933us            15            --  
              aten::as_strided         0.81%      30.000us         0.81%      30.000us       0.833us            36            --  
                  aten::select         1.83%      68.000us         1.93%      72.000us       6.000us            12            --  
                   aten::clamp         1.77%      66.000us         4.81%     179.000us      89.500us             2            --  
                      aten::to         0.51%      19.000us         3.22%     120.000us      24.000us             5            --  
                aten::_to_copy         0.86%      32.000us         2.71%     101.000us      20.200us             5            --  
           aten::empty_strided         1.58%      59.000us         1.58%      59.000us      11.800us             5            --  
                   aten::copy_         0.27%      10.000us         0.27%      10.000us       2.000us             5            --  
                    aten::item         0.59%      22.000us         0.64%      24.000us      24.000us             1            --  
     aten::_local_scalar_dense         0.05%       2.000us         0.05%       2.000us       2.000us             1            --  
                     aten::mul         1.53%      57.000us         1.72%      64.000us      64.000us             1         1.600  
                     aten::sub         0.99%      37.000us         0.99%      37.000us      18.500us             2            --  
                     aten::min         1.34%      50.000us         1.42%      53.000us      53.000us             1            --  
                   aten::empty         1.13%      42.000us         1.13%      42.000us       3.231us            13            --  
                   aten::fill_         0.03%       1.000us         0.03%       1.000us       1.000us             1            --  
                     aten::pad         1.07%      40.000us         3.95%     147.000us      36.750us             4            --  
        aten::reflection_pad2d         2.09%      78.000us         2.87%     107.000us      26.750us             4            --  
                 aten::resize_         0.97%      36.000us         0.97%      36.000us       7.200us             5            --  
                  aten::conv2d         2.07%      77.000us        75.86%       2.825ms     706.250us             4            --  
               aten::unsqueeze         0.94%      35.000us         1.15%      43.000us       8.600us             5            --  
             aten::convolution         2.28%      85.000us        71.72%       2.671ms     667.750us             4            --  
            aten::_convolution         6.90%     257.000us        69.44%       2.586ms     646.500us             4            --  
       aten::_nnpack_available         0.03%       1.000us         0.03%       1.000us       1.000us             1            --  
             aten::thnn_conv2d         0.81%      30.000us         9.48%     353.000us     353.000us             1            --  
    aten::_slow_conv2d_forward         7.87%     293.000us         8.67%     323.000us     323.000us             1            --  
                    aten::view         0.08%       3.000us         0.08%       3.000us       3.000us             1            --  
                 aten::squeeze         0.91%      34.000us         1.05%      39.000us       9.750us             4            --  
                    aten::relu         1.34%      50.000us         3.41%     127.000us      31.750us             4            --  
               aten::clamp_min         2.07%      77.000us         2.07%      77.000us      19.250us             4            --  
      aten::mkldnn_convolution        52.23%       1.945ms        53.03%       1.975ms     658.333us             3            --  
             aten::as_strided_         0.27%      10.000us         0.27%      10.000us       3.333us             3            --  
                     aten::add         0.59%      22.000us         0.59%      22.000us      22.000us             1         1.600  
                     aten::cat         1.13%      42.000us         1.50%      56.000us      56.000us             1            --  
                  aten::narrow         0.21%       8.000us         0.38%      14.000us       3.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.724ms



For N = 50 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.68%     152.000us         3.08%     175.000us      11.667us            15            --  
              aten::as_strided         0.84%      48.000us         0.84%      48.000us       1.333us            36            --  
                  aten::select         1.36%      77.000us         1.48%      84.000us       7.000us            12            --  
                   aten::clamp         1.32%      75.000us         2.52%     143.000us      71.500us             2            --  
                      aten::to         0.42%      24.000us         1.32%      75.000us      15.000us             5            --  
                aten::_to_copy         0.62%      35.000us         0.97%      55.000us      11.000us             5            --  
           aten::empty_strided         0.18%      10.000us         0.18%      10.000us       2.000us             5            --  
                   aten::copy_         0.18%      10.000us         0.18%      10.000us       2.000us             5            --  
                    aten::item         0.39%      22.000us         0.40%      23.000us      23.000us             1            --  
     aten::_local_scalar_dense         0.02%       1.000us         0.02%       1.000us       1.000us             1            --  
                     aten::mul        18.37%       1.044ms        18.57%       1.055ms       1.055ms             1         2.500  
                     aten::sub         1.00%      57.000us         1.00%      57.000us      28.500us             2            --  
                     aten::min         0.88%      50.000us         0.95%      54.000us      54.000us             1            --  
                   aten::empty         0.90%      51.000us         0.90%      51.000us       3.923us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.72%      41.000us         3.01%     171.000us      42.750us             4            --  
        aten::reflection_pad2d         1.81%     103.000us         2.29%     130.000us      32.500us             4            --  
                 aten::resize_         0.37%      21.000us         0.37%      21.000us       4.200us             5            --  
                  aten::conv2d         1.41%      80.000us        65.07%       3.697ms     924.250us             4            --  
               aten::unsqueeze         0.65%      37.000us         0.83%      47.000us       9.400us             5            --  
             aten::convolution         1.72%      98.000us        62.09%       3.528ms     882.000us             4            --  
            aten::_convolution         2.11%     120.000us        60.37%       3.430ms     857.500us             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.44%      25.000us         6.27%     356.000us     356.000us             1            --  
    aten::_slow_conv2d_forward         5.26%     299.000us         5.83%     331.000us     331.000us             1            --  
                    aten::view         0.09%       5.000us         0.09%       5.000us       5.000us             1            --  
                 aten::squeeze         0.70%      40.000us         0.84%      48.000us      12.000us             4            --  
                    aten::relu         0.93%      53.000us         2.38%     135.000us      33.750us             4            --  
               aten::clamp_min         1.44%      82.000us         1.44%      82.000us      20.500us             4            --  
      aten::mkldnn_convolution        51.55%       2.929ms        51.99%       2.954ms     984.667us             3            --  
             aten::as_strided_         0.19%      11.000us         0.19%      11.000us       3.667us             3            --  
                     aten::add         0.53%      30.000us         0.53%      30.000us      30.000us             1         2.500  
                     aten::cat         0.79%      45.000us         1.07%      61.000us      61.000us             1            --  
                  aten::narrow         0.12%       7.000us         0.25%      14.000us       3.500us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.682ms



For N = 60 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         2.78%     369.000us         2.94%     390.000us      26.000us            15            --  
              aten::as_strided         3.96%     526.000us         3.96%     526.000us      14.611us            36            --  
                  aten::select         0.47%      62.000us         0.56%      74.000us       6.167us            12            --  
                   aten::clamp         6.27%     832.000us         7.08%     939.000us     469.500us             2            --  
                      aten::to         0.16%      21.000us         1.01%     134.000us      26.800us             5            --  
                aten::_to_copy         0.30%      40.000us         0.85%     113.000us      22.600us             5            --  
           aten::empty_strided         0.42%      56.000us         0.42%      56.000us      11.200us             5            --  
                   aten::copy_         0.13%      17.000us         0.13%      17.000us       3.400us             5            --  
                    aten::item         0.23%      30.000us         0.23%      31.000us      31.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul        10.92%       1.449ms        11.12%       1.476ms       1.476ms             1         3.600  
                     aten::sub         0.70%      93.000us         0.70%      93.000us      46.500us             2            --  
                     aten::min         0.48%      64.000us         0.53%      70.000us      70.000us             1            --  
                   aten::empty         0.91%     121.000us         0.91%     121.000us       9.308us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         3.13%     415.000us         5.27%     699.000us     174.750us             4            --  
        aten::reflection_pad2d         1.54%     204.000us         2.14%     284.000us      71.000us             4            --  
                 aten::resize_         0.35%      46.000us         0.35%      46.000us       9.200us             5            --  
                  aten::conv2d         0.93%     124.000us        65.26%       8.661ms       2.165ms             4            --  
               aten::unsqueeze         0.99%     132.000us         4.65%     617.000us     123.400us             5            --  
             aten::convolution         0.96%     127.000us        59.60%       7.910ms       1.978ms             4            --  
            aten::_convolution         4.14%     549.000us        58.65%       7.783ms       1.946ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.31%      41.000us         9.20%       1.221ms       1.221ms             1            --  
    aten::_slow_conv2d_forward         8.66%       1.149ms         8.89%       1.180ms       1.180ms             1            --  
                    aten::view         0.03%       4.000us         0.03%       4.000us       4.000us             1            --  
                 aten::squeeze         0.27%      36.000us         0.32%      43.000us      10.750us             4            --  
                    aten::relu         4.48%     595.000us         5.46%     724.000us     181.000us             4            --  
               aten::clamp_min         0.97%     129.000us         0.97%     129.000us      32.250us             4            --  
      aten::mkldnn_convolution        44.84%       5.951ms        45.31%       6.013ms       2.004ms             3            --  
             aten::as_strided_         0.06%       8.000us         0.06%       8.000us       2.667us             3            --  
                     aten::add         0.29%      38.000us         0.29%      38.000us      38.000us             1         3.600  
                     aten::cat         0.27%      36.000us         0.38%      50.000us      50.000us             1            --  
                  aten::narrow         0.05%       6.000us         0.09%      12.000us       3.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.271ms



For N = 70 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         0.82%     513.000us         0.88%     546.000us      36.400us            15            --  
              aten::as_strided         0.14%      86.000us         0.14%      86.000us       2.389us            36            --  
                  aten::select         2.27%       1.415ms         2.29%       1.425ms     118.750us            12            --  
                   aten::clamp         1.47%     916.000us         1.59%     989.000us     494.500us             2            --  
                      aten::to         0.04%      25.000us         0.99%     616.000us     123.200us             5            --  
                aten::_to_copy         0.90%     558.000us         0.94%     587.000us     117.400us             5            --  
           aten::empty_strided         0.03%      16.000us         0.03%      16.000us       3.200us             5            --  
                   aten::copy_         0.03%      17.000us         0.03%      17.000us       3.400us             5            --  
                    aten::item         0.18%     111.000us         0.18%     115.000us     115.000us             1            --  
     aten::_local_scalar_dense         0.01%       4.000us         0.01%       4.000us       4.000us             1            --  
                     aten::mul         1.93%       1.198ms         2.80%       1.741ms       1.741ms             1         4.900  
                     aten::sub         1.14%     709.000us         1.14%     709.000us     354.500us             2            --  
                     aten::min         1.69%       1.052ms         1.71%       1.064ms       1.064ms             1            --  
                   aten::empty         1.83%       1.138ms         1.83%       1.138ms      87.538us            13            --  
                   aten::fill_         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::pad         2.49%       1.547ms         6.55%       4.077ms       1.019ms             4            --  
        aten::reflection_pad2d         2.21%       1.373ms         4.07%       2.530ms     632.500us             4            --  
                 aten::resize_         1.80%       1.120ms         1.80%       1.120ms     224.000us             5            --  
                  aten::conv2d         1.81%       1.124ms        74.26%      46.205ms      11.551ms             4            --  
               aten::unsqueeze         0.11%      69.000us         0.15%      94.000us      18.800us             5            --  
             aten::convolution         6.53%       4.060ms        72.17%      44.902ms      11.226ms             4            --  
            aten::_convolution         5.15%       3.202ms        65.64%      40.842ms      10.210ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         3.03%       1.885ms        11.86%       7.379ms       7.379ms             1            --  
    aten::_slow_conv2d_forward         8.77%       5.455ms         8.83%       5.494ms       5.494ms             1            --  
                    aten::view         0.02%      11.000us         0.02%      11.000us      11.000us             1            --  
                 aten::squeeze         0.12%      72.000us         0.14%      90.000us      22.500us             4            --  
                    aten::relu         0.99%     619.000us         5.48%       3.411ms     852.750us             4            --  
               aten::clamp_min         4.49%       2.792ms         4.49%       2.792ms     698.000us             4            --  
      aten::mkldnn_convolution        46.91%      29.184ms        48.64%      30.261ms      10.087ms             3            --  
             aten::as_strided_         0.02%      15.000us         0.02%      15.000us       5.000us             3            --  
                     aten::add         3.03%       1.883ms         3.03%       1.883ms       1.883ms             1         4.900  
                     aten::cat         0.06%      38.000us         0.09%      55.000us      55.000us             1            --  
                  aten::narrow         0.02%      11.000us         0.03%      16.000us       4.000us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 62.219ms



For N = 80 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.39%     701.000us         2.30%       1.160ms      77.333us            15            --  
              aten::as_strided         1.11%     562.000us         1.11%     562.000us      15.611us            36            --  
                  aten::select         0.43%     216.000us         0.46%     231.000us      19.250us            12            --  
                   aten::clamp         2.55%       1.286ms         2.71%       1.366ms     683.000us             2            --  
                      aten::to         0.09%      45.000us         0.23%     116.000us      23.200us             5            --  
                aten::_to_copy         0.07%      37.000us         0.15%      74.000us      14.800us             5            --  
           aten::empty_strided         0.05%      24.000us         0.05%      24.000us       4.800us             5            --  
                   aten::copy_         0.03%      13.000us         0.03%      13.000us       2.600us             5            --  
                    aten::item         0.04%      20.000us         0.04%      20.000us      20.000us             1            --  
     aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       2.000us             1            --  
                     aten::mul         4.75%       2.393ms         4.82%       2.432ms       2.432ms             1         6.400  
                     aten::sub         0.94%     472.000us         0.94%     472.000us     236.000us             2            --  
                     aten::min         1.52%     764.000us         1.52%     768.000us     768.000us             1            --  
                   aten::empty         7.63%       3.845ms         7.63%       3.845ms     295.769us            13            --  
                   aten::fill_         0.00%       1.000us         0.00%       1.000us       1.000us             1            --  
                     aten::pad         0.09%      46.000us         5.49%       2.770ms     692.500us             4            --  
        aten::reflection_pad2d         0.42%     211.000us         5.40%       2.724ms     681.000us             4            --  
                 aten::resize_         4.17%       2.104ms         4.17%       2.104ms     420.800us             5            --  
                  aten::conv2d         1.03%     519.000us        81.13%      40.907ms      10.227ms             4            --  
               aten::unsqueeze         0.81%     410.000us         0.92%     464.000us      92.800us             5            --  
             aten::convolution         2.10%       1.060ms        79.01%      39.838ms       9.960ms             4            --  
            aten::_convolution         1.95%     985.000us        76.91%      38.778ms       9.694ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.78%     392.000us         7.45%       3.754ms       3.754ms             1            --  
    aten::_slow_conv2d_forward         6.62%       3.338ms         6.67%       3.362ms       3.362ms             1            --  
                    aten::view         0.01%       6.000us         0.01%       6.000us       6.000us             1            --  
                 aten::squeeze         0.12%      59.000us         0.18%      93.000us      23.250us             4            --  
                    aten::relu         0.12%      59.000us         0.35%     178.000us      44.500us             4            --  
               aten::clamp_min         0.24%     119.000us         0.24%     119.000us      29.750us             4            --  
      aten::mkldnn_convolution        60.69%      30.599ms        67.51%      34.039ms      11.346ms             3            --  
             aten::as_strided_         0.05%      25.000us         0.05%      25.000us       8.333us             3            --  
                     aten::add         0.10%      50.000us         0.10%      50.000us      50.000us             1         6.400  
                     aten::cat         0.10%      52.000us         0.26%     131.000us     131.000us             1            --  
                  aten::narrow         0.01%       7.000us         0.16%      79.000us      19.750us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 50.422ms



For N = 90 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         1.47%     186.000us         5.09%     642.000us      42.800us            15            --  
              aten::as_strided         4.15%     524.000us         4.15%     524.000us      14.556us            36            --  
                  aten::select         2.92%     368.000us         3.09%     390.000us      32.500us            12            --  
                   aten::clamp         0.63%      79.000us         1.12%     141.000us      70.500us             2            --  
                      aten::to         0.20%      25.000us         5.89%     744.000us     148.800us             5            --  
                aten::_to_copy         5.36%     677.000us         5.70%     719.000us     143.800us             5            --  
           aten::empty_strided         0.23%      29.000us         0.23%      29.000us       5.800us             5            --  
                   aten::copy_         0.10%      13.000us         0.10%      13.000us       2.600us             5            --  
                    aten::item         0.12%      15.000us         0.13%      16.000us      16.000us             1            --  
     aten::_local_scalar_dense         0.01%       1.000us         0.01%       1.000us       1.000us             1            --  
                     aten::mul         0.77%      97.000us         6.17%     779.000us     779.000us             1         8.100  
                     aten::sub         0.45%      57.000us         0.45%      57.000us      28.500us             2            --  
                     aten::min         0.29%      37.000us         0.36%      46.000us      46.000us             1            --  
                   aten::empty         0.45%      57.000us         0.45%      57.000us       4.385us            13            --  
                   aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
                     aten::pad         0.32%      41.000us         6.16%     777.000us     194.250us             4            --  
        aten::reflection_pad2d         1.74%     220.000us         5.83%     736.000us     184.000us             4            --  
                 aten::resize_         4.06%     513.000us         4.06%     513.000us     102.600us             5            --  
                  aten::conv2d         0.83%     105.000us        69.46%       8.766ms       2.192ms             4            --  
               aten::unsqueeze         0.48%      61.000us         0.70%      88.000us      17.600us             5            --  
             aten::convolution         7.12%     898.000us        64.30%       8.115ms       2.029ms             4            --  
            aten::_convolution         0.84%     106.000us        57.18%       7.217ms       1.804ms             4            --  
       aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             1            --  
             aten::thnn_conv2d         0.13%      17.000us         5.25%     662.000us     662.000us             1            --  
    aten::_slow_conv2d_forward         4.98%     628.000us         5.11%     645.000us     645.000us             1            --  
                    aten::view         0.03%       4.000us         0.03%       4.000us       4.000us             1            --  
                 aten::squeeze         3.62%     457.000us         3.77%     476.000us     119.000us             4            --  
                    aten::relu         1.89%     238.000us         2.91%     367.000us      91.750us             4            --  
               aten::clamp_min         1.02%     129.000us         1.02%     129.000us      32.250us             4            --  
      aten::mkldnn_convolution        50.75%       6.405ms        51.10%       6.449ms       2.150ms             3            --  
             aten::as_strided_         0.10%      12.000us         0.10%      12.000us       4.000us             3            --  
                     aten::add         4.52%     571.000us         4.52%     571.000us     571.000us             1         8.100  
                     aten::cat         0.29%      37.000us         0.78%      98.000us      98.000us             1            --  
                  aten::narrow         0.11%      14.000us         0.48%      61.000us      15.250us             4            --  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.621ms



For N = 100 | Num optimizer steps = 4

------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::slice         3.68%       4.005ms         4.12%       4.477ms     298.467us            15            --  
              aten::as_strided         0.45%     485.000us         0.45%     485.000us      13.472us            36            --  
                  aten::select         0.04%      47.000us         0.04%      48.000us       4.000us            12            --  
                   aten::clamp         4.62%       5.020ms         8.94%       9.723ms       4.862ms             2            --  
                      aten::to         1.05%       1.139ms         4.33%       4.707ms     941.400us             5            --  
                aten::_to_copy         2.35%       2.555ms         3.29%       3.577ms     715.400us             5            --  
           aten::empty_strided         0.06%      62.000us         0.06%      62.000us      12.400us             5            --  
                   aten::copy_         0.88%     960.000us         0.88%     960.000us     192.000us             5            --  
                    aten::item         0.46%     497.000us         0.99%       1.073ms       1.073ms             1            --  
     aten::_local_scalar_dense         0.53%     576.000us         0.53%     576.000us     576.000us             1            --  
                     aten::mul         1.90%       2.062ms         1.91%       2.075ms       2.075ms             1        10.000  
                     aten::sub         1.18%       1.284ms         1.18%       1.284ms     642.000us             2            --  
                     aten::min         2.98%       3.244ms         3.22%       3.506ms       3.506ms             1            --  
                   aten::empty         0.53%     575.000us         0.53%     575.000us      44.231us            13            --  
                   aten::fill_         0.24%     259.000us         0.24%     259.000us     259.000us             1            --  
                     aten::pad         0.87%     948.000us         2.71%       2.947ms     736.750us             4            --  
        aten::reflection_pad2d         1.54%       1.678ms         1.84%       1.999ms     499.750us             4            --  
                 aten::resize_         0.29%     319.000us         0.29%     319.000us      63.800us             5            --  
                  aten::conv2d         1.87%       2.032ms        69.26%      75.319ms      18.830ms             4            --  
