For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          MeanBackward0         0.01%       1.218ms         0.01%       1.384ms     461.333us             3            --  
                                           aten::expand         0.00%      31.000us         0.00%      41.000us      13.667us             3            --  
autograd::engine::evaluate_function: torch::autograd...         1.70%     323.386ms        10.05%        1.910s      63.537us         30057            --  
                            torch::autograd::CopySlices         2.44%     464.644ms         8.34%        1.586s      52.778us         30057            --  
                                aten::new_empty_strided         0.43%      81.831ms         0.62%     118.503ms       3.943us         30057            --  
                         torch::autograd::CopyBackwards         0.42%      79.384ms         2.60%     493.385ms      16.423us         30042            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%     122.000us         0.00%     615.000us      41.000us            15            --  
                                     AsStridedBackward0         0.00%     182.000us         0.00%     419.000us      27.933us            15            --  
                                          aten::squeeze         0.00%      82.000us         0.00%     100.000us       5.556us            18            --  
                                        aten::new_zeros         0.00%      55.000us         0.00%      95.000us       6.333us            15            --  
                                        aten::new_empty         0.00%      17.000us         0.00%      35.000us       2.333us            15            --  
                                           AddBackward0         0.27%      51.182ms         0.27%      51.182ms       0.568us         90030            --  
      autograd::engine::evaluate_function: MulBackward0         0.58%     109.590ms         3.76%     715.312ms      23.799us         30057            --  
                                           MulBackward0         0.73%     139.611ms         3.13%     595.700ms      19.819us         30057            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%     188.000us         0.01%       1.811ms      60.367us            30            --  
                                           PowBackward0         0.00%     201.000us         0.01%       1.623ms      54.100us            30            --  
      autograd::engine::evaluate_function: SubBackward0         0.45%      84.738ms         0.46%      88.391ms       2.942us         30045            --  
                                           SubBackward0         0.02%       3.623ms         0.02%       3.623ms       0.121us         30045            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      87.000us         0.01%       1.218ms      33.833us            36            --  
                                        SelectBackward0         0.00%     629.000us         0.01%       1.108ms      30.778us            36            --  
                                  aten::select_backward         0.00%     172.000us         0.00%     498.000us      13.833us            36            --  
    autograd::engine::evaluate_function: SliceBackward0         7.35%        1.397s        40.14%        7.630s      21.191us        360078            --  
                                         SliceBackward0         5.71%        1.086s        28.11%        5.345s      14.844us        360078            --  
                                   aten::slice_backward         8.81%        1.674s        24.43%        4.645s      12.899us        360078            --  
      autograd::engine::evaluate_function: AddBackward0         1.82%     345.224ms         2.09%     396.402ms       4.404us         90018            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                          aten::detach_         0.00%       9.000us         0.00%      15.000us       2.500us             6            --  
                                                detach_         0.00%       6.000us         0.00%       6.000us       1.000us             6            --  
                                           aten::linear         0.00%     676.000us         0.01%       1.132ms     188.667us             6            --  
                                                aten::t         0.00%      80.000us         0.00%     115.000us      19.167us             6            --  
                                        aten::transpose         0.00%     102.000us         0.00%     132.000us       7.333us            18            --  
                                           aten::matmul         0.00%      74.000us         0.00%     273.000us      45.500us             6            --  
                                        aten::unsqueeze         0.00%      39.000us         0.00%      50.000us       5.556us             9            --  
                                               aten::mm         0.00%      85.000us         0.00%      85.000us      14.167us             6            --  
                                         aten::squeeze_         0.00%      71.000us         0.00%      84.000us      14.000us             6            --  
                                      aten::as_strided_         0.00%      13.000us         0.00%      13.000us       2.167us             6            --  
                                             aten::rsub         0.00%     102.000us         0.00%     296.000us      19.733us            15            --  
                                             aten::sqrt         0.00%      52.000us         0.00%      52.000us       8.667us             6            --  
                                              aten::cat         0.00%      99.000us         0.00%      99.000us       6.600us            15            --  
                                           aten::conv2d         0.00%      41.000us         0.01%       1.490ms     165.556us             9         1.166  
                                      aten::convolution         0.00%     164.000us         0.01%       1.449ms     161.000us             9            --  
                                     aten::_convolution         0.00%     109.000us         0.01%       1.285ms     142.778us             9            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             9            --  
                                      aten::thnn_conv2d         0.00%      33.000us         0.01%       1.127ms     125.222us             9            --  
                             aten::_slow_conv2d_forward         0.00%     879.000us         0.01%       1.094ms     121.556us             9            --  
                                             aten::view         0.00%      90.000us         0.00%      90.000us       3.000us            30            --  
                                          aten::resize_         0.00%      33.000us         0.00%      33.000us       2.750us            12            --  
                                          aten::reshape         0.00%      50.000us         0.00%      62.000us      10.333us             6            --  
                                   aten::_reshape_alias         0.00%      12.000us         0.00%      12.000us       2.000us             6            --  
                                             aten::relu         0.00%     100.000us         0.00%     184.000us      12.267us            15            --  
                                        aten::clamp_min         0.00%      84.000us         0.00%      84.000us       5.600us            15            --  
                                          aten::permute         0.00%      91.000us         0.00%     110.000us       9.167us            12            --  
                                             aten::lstm         0.00%     201.000us         0.05%       9.451ms       1.575ms             6            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                       aten::contiguous         0.00%      14.000us         0.00%     156.000us      17.333us             9            --  
                                 aten::mkldnn_rnn_layer         0.05%       8.705ms         0.05%       8.870ms       1.478ms             6            --  
                                            aten::stack         0.00%      86.000us         0.00%     134.000us      11.167us            12            --  
                                              aten::pad         0.00%      10.000us         0.00%     202.000us      67.333us             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 19.011s



For N = 100 | Num optimizer steps = 3

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         4.40%     932.241ms         8.30%        1.758s       4.881us        360123            --  
                                            aten::empty         2.69%     569.098ms         2.69%     569.098ms       1.350us        421491            --  
                                            aten::zero_         2.01%     426.240ms         2.01%     426.240ms       1.092us        390187            --  
                                              aten::add         7.85%        1.664s         7.87%        1.667s      13.838us        120451      1204.273  
                                               aten::to         0.49%     104.692ms         3.36%     711.172ms       6.999us        101613            --  
                                         aten::_to_copy         1.80%     381.428ms         2.95%     625.542ms       8.751us         71479            --  
                                    aten::empty_strided         0.98%     208.198ms         0.98%     208.198ms       2.042us        101958            --  
                                            aten::copy_        11.08%        2.348s        11.08%        2.348s       4.175us        562286            --  
                                              aten::div         0.00%     298.000us         0.00%     379.000us      19.947us            19            --  
                                            aten::slice        25.16%        5.330s        27.32%        5.789s       6.028us        960390            --  
                                       aten::as_strided         2.74%     581.234ms         2.74%     581.234ms       0.586us        991185            --  
                                           aten::select         0.01%       1.118ms         0.01%       1.180ms       4.896us           241            --  
                                            aten::clone         0.46%      97.681ms         1.27%     269.709ms       8.849us         30478            --  
                                              aten::sub         1.80%     381.375ms         1.80%     381.748ms       9.430us         40484            --  
                                              aten::mul         4.35%     921.600ms         7.82%        1.657s      23.327us         71024       708.681  
                                         aten::allclose         0.01%       3.136ms         0.87%     184.667ms     461.668us           400            --  
                                          aten::isclose         0.07%      13.797ms         0.83%     175.646ms     439.115us           400            --  
                                               aten::eq         0.07%      14.541ms         0.07%      14.541ms      18.176us           800            --  
                                              aten::abs         0.13%      26.659ms         0.25%      52.566ms      21.902us          2400            --  
                                         aten::isfinite         0.04%       9.391ms         0.22%      47.466ms     118.665us           400            --  
                                               aten::ne         0.08%      16.988ms         0.09%      19.659ms      49.148us           400            --  
                                               aten::le         0.02%       4.065ms         0.02%       4.065ms      10.162us           400            --  
                                         aten::__iand__         0.01%       1.421ms         0.03%       6.146ms      15.365us           400            --  
                                     aten::bitwise_and_         0.03%       5.455ms         0.03%       5.455ms      13.637us           400            --  
                                          aten::__ior__         0.00%     838.000us         0.02%       3.852ms       9.630us           400            --  
                                      aten::bitwise_or_         0.02%       3.183ms         0.02%       3.183ms       7.957us           400            --  
                                              aten::all         0.02%       4.340ms         0.02%       4.829ms      12.072us           400            --  
                                            aten::fill_         0.00%       5.000us         0.00%       5.000us       0.012us           407            --  
                                             aten::item         0.00%       1.056ms         0.01%       1.066ms       2.613us           408            --  
                              aten::_local_scalar_dense         0.00%      14.000us         0.00%      14.000us       0.034us           408            --  
                                       aten::zeros_like         0.34%      72.388ms         0.69%     147.231ms       4.901us         30043            --  
                                       aten::empty_like         0.39%      83.432ms         0.55%     115.485ms       1.921us         60112            --  
                                               aten::lt         0.00%     146.000us         0.00%     245.000us      12.250us            20            --  
                                               aten::gt         0.00%     122.000us         0.00%     213.000us      10.650us            20            --  
                                              aten::pow         0.01%       1.200ms         0.01%       1.230ms      15.000us            82            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            82            --  
                                             aten::add_         2.57%     545.324ms         2.57%     545.324ms       4.541us        120092            --  
                                             aten::mean         0.00%      86.000us         0.00%     204.000us      51.000us             4            --  
                                              aten::sum         0.00%      58.000us         0.00%      59.000us      14.750us             4            --  
                                             aten::div_         0.00%      34.000us         0.00%      59.000us      14.750us             4            --  
                                        aten::ones_like         0.00%      12.000us         0.00%      27.000us       9.000us             3            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      78.000us         0.00%     391.000us     130.333us             3            --  
                                          MeanBackward0         0.00%      75.000us         0.00%     313.000us     104.333us             3            --  
                                           aten::expand         0.00%      34.000us         0.00%      46.000us      15.333us             3            --  
autograd::engine::evaluate_function: torch::autograd...         1.55%     328.044ms         8.78%        1.860s      61.879us         30057            --  
                            torch::autograd::CopySlices         2.71%     574.605ms         7.23%        1.532s      50.965us         30057            --  
                                aten::new_empty_strided         0.41%      87.330ms         0.59%     125.543ms       4.177us         30057            --  
                         torch::autograd::CopyBackwards         0.42%      88.056ms         1.13%     238.757ms       7.947us         30042            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%     137.000us         0.00%     720.000us      48.000us            15            --  
                                     AsStridedBackward0         0.00%     209.000us         0.00%     491.000us      32.733us            15            --  
                                          aten::squeeze         0.00%      85.000us         0.00%     101.000us       5.611us            18            --  
                                        aten::new_zeros         0.00%      56.000us         0.00%     117.000us       7.800us            15            --  
                                        aten::new_empty         0.00%      19.000us         0.00%      35.000us       2.333us            15            --  
                                           AddBackward0         0.27%      56.825ms         0.27%      56.825ms       0.631us         90030            --  
      autograd::engine::evaluate_function: MulBackward0         0.81%     170.859ms         3.96%     838.325ms      27.891us         30057            --  
                                           MulBackward0         0.69%     146.265ms         3.09%     655.096ms      21.795us         30057            --  
      autograd::engine::evaluate_function: PowBackward0         0.00%     194.000us         0.00%       1.038ms      34.600us            30            --  
                                           PowBackward0         0.00%     215.000us         0.00%     844.000us      28.133us            30            --  
      autograd::engine::evaluate_function: SubBackward0         0.44%      92.596ms         0.46%      98.024ms       3.263us         30045            --  
                                           SubBackward0         0.03%       5.400ms         0.03%       5.400ms       0.180us         30045            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      51.000us         0.00%     673.000us      18.694us            36            --  
                                        SelectBackward0         0.00%     141.000us         0.00%     571.000us      15.861us            36            --  
                                  aten::select_backward         0.00%     172.000us         0.00%     481.000us      13.361us            36            --  
    autograd::engine::evaluate_function: SliceBackward0         7.53%        1.595s        41.80%        8.856s      24.593us        360078            --  
                                         SliceBackward0         5.42%        1.149s        29.49%        6.248s      17.352us        360078            --  
                                   aten::slice_backward         8.28%        1.753s        25.96%        5.500s      15.273us        360078            --  
      autograd::engine::evaluate_function: AddBackward0         1.74%     367.660ms         2.00%     424.479ms       4.715us         90018            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                          aten::detach_         0.00%       9.000us         0.00%      12.000us       2.000us             6            --  
                                                detach_         0.00%       3.000us         0.00%       3.000us       0.500us             6            --  
                                           aten::linear         0.00%     531.000us         0.01%       2.431ms     405.167us             6            --  
                                                aten::t         0.01%       1.585ms         0.01%       1.630ms     271.667us             6            --  
                                        aten::transpose         0.00%     112.000us         0.00%     148.000us       8.222us            18            --  
                                           aten::matmul         0.00%      73.000us         0.00%     220.000us      36.667us             6            --  
                                        aten::unsqueeze         0.00%      39.000us         0.00%      52.000us       5.778us             9            --  
                                               aten::mm         0.00%      67.000us         0.00%      67.000us      11.167us             6            --  
                                         aten::squeeze_         0.00%      34.000us         0.00%      46.000us       7.667us             6            --  
                                      aten::as_strided_         0.00%      12.000us         0.00%      12.000us       2.000us             6            --  
                                             aten::rsub         0.00%      94.000us         0.00%     275.000us      18.333us            15            --  
                                             aten::sqrt         0.00%      53.000us         0.00%      53.000us       8.833us             6            --  
                                              aten::cat         0.00%      84.000us         0.00%      84.000us       5.600us            15            --  
                                           aten::conv2d         0.00%     338.000us         0.01%       2.166ms     240.667us             9         1.296  
                                      aten::convolution         0.00%     142.000us         0.01%       2.123ms     235.889us             9            --  
                                     aten::_convolution         0.00%     123.000us         0.01%       1.981ms     220.111us             9            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us             9            --  
                                      aten::thnn_conv2d         0.00%      37.000us         0.01%       1.805ms     200.556us             9            --  
                             aten::_slow_conv2d_forward         0.01%       1.482ms         0.01%       1.768ms     196.444us             9            --  
                                             aten::view         0.00%     102.000us         0.00%     102.000us       3.400us            30            --  
                                          aten::resize_         0.00%      49.000us         0.00%      49.000us       4.083us            12            --  
                                          aten::reshape         0.00%      62.000us         0.00%      76.000us      12.667us             6            --  
                                   aten::_reshape_alias         0.00%      14.000us         0.00%      14.000us       2.333us             6            --  
                                             aten::relu         0.00%     125.000us         0.00%     360.000us      24.000us            15            --  
                                        aten::clamp_min         0.00%     235.000us         0.00%     235.000us      15.667us            15            --  
                                          aten::permute         0.00%     102.000us         0.00%     120.000us      10.000us            12            --  
                                             aten::lstm         0.00%     215.000us         0.05%      10.818ms       1.803ms             6            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             6            --  
                                       aten::contiguous         0.00%      14.000us         0.00%     217.000us      24.111us             9            --  
                                 aten::mkldnn_rnn_layer         0.05%      10.068ms         0.05%      10.177ms       1.696ms             6            --  
                                            aten::stack         0.00%      97.000us         0.00%     153.000us      12.750us            12            --  
                                              aten::pad         0.00%      12.000us         0.00%     222.000us      74.000us             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.187s



For N = 10 | Num optimizer steps = 4

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         5.60%      40.109ms         8.98%      64.347ms       3.315us         19410            --  
                                            aten::empty         4.01%      28.735ms         4.01%      28.735ms       1.254us         22917            --  
                                            aten::zero_         0.00%       0.000us         0.00%       0.000us       0.000us         21098            --  
                                              aten::add         4.82%      34.509ms         4.85%      34.763ms       5.696us          6103       607.648  
                                               aten::to         0.86%       6.161ms         3.69%      26.415ms       4.538us          5821            --  
                                         aten::_to_copy         1.99%      14.240ms         3.16%      22.627ms       5.598us          4042            --  
                                    aten::empty_strided         0.90%       6.469ms         0.90%       6.469ms       1.121us          5769            --  
                                            aten::copy_         5.79%      41.464ms         5.79%      41.464ms       1.352us         30664            --  
                                              aten::div         0.03%     225.000us         0.04%     298.000us      11.920us            25            --  
                                            aten::slice        25.23%     180.737ms        26.74%     191.571ms       3.845us         49817            --  
                                       aten::as_strided         2.15%      15.432ms         2.15%      15.432ms       0.297us         51959            --  
                                           aten::select         0.19%       1.339ms         0.20%       1.436ms       4.662us           308            --  
                                            aten::clone         0.97%       6.916ms         1.78%      12.752ms       7.384us          1727            --  
                                              aten::sub         1.53%      10.991ms         1.61%      11.500ms       5.381us          2137            --  
                                              aten::mul         3.17%      22.672ms         7.04%      50.458ms      12.774us          3950       374.676  
                                         aten::allclose         0.03%     190.000us         0.46%       3.329ms     133.160us            25            --  
                                          aten::isclose         0.08%     598.000us         0.39%       2.812ms     112.480us            25            --  
                                               aten::eq         0.02%     151.000us         0.02%     151.000us       3.020us            50            --  
                                              aten::abs         0.07%     493.000us         0.10%     691.000us       4.607us           150            --  
                                         aten::isfinite         0.03%     232.000us         0.09%     677.000us      27.080us            25            --  
                                               aten::ne         0.02%     167.000us         0.04%     278.000us      11.120us            25            --  
                                               aten::le         0.01%      69.000us         0.01%      69.000us       2.760us            25            --  
                                         aten::__iand__         0.01%      46.000us         0.01%     100.000us       4.000us            25            --  
                                     aten::bitwise_and_         0.01%      56.000us         0.01%      56.000us       2.240us            25            --  
                                          aten::__ior__         0.01%      46.000us         0.01%      82.000us       3.280us            25            --  
                                      aten::bitwise_or_         0.01%      39.000us         0.01%      39.000us       1.560us            25            --  
                                              aten::all         0.04%     254.000us         0.04%     279.000us      11.160us            25            --  
                                            aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::item         0.01%      63.000us         0.01%      65.000us       1.857us            35            --  
                              aten::_local_scalar_dense         0.00%       2.000us         0.00%       2.000us       0.057us            35            --  
                                       aten::zeros_like         0.35%       2.480ms         0.99%       7.123ms       4.291us          1660            --  
                                       aten::empty_like         0.61%       4.390ms         1.21%       8.645ms       2.576us          3356            --  
                                               aten::lt         0.02%     111.000us         0.03%     222.000us       8.880us            25            --  
                                               aten::gt         0.01%     102.000us         0.03%     212.000us       8.480us            25            --  
                                              aten::pow         0.11%     767.000us         0.11%     794.000us       7.491us           106            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us           106            --  
                                             aten::add_         0.98%       7.030ms         0.98%       7.030ms       1.075us          6537            --  
                                             aten::mean         0.01%      86.000us         0.03%     217.000us      43.400us             5            --  
                                              aten::sum         0.01%      57.000us         0.01%      62.000us      12.400us             5            --  
                                             aten::div_         0.01%      40.000us         0.01%      69.000us      13.800us             5            --  
                                        aten::ones_like         0.00%      17.000us         0.00%      32.000us       8.000us             4            --  
     autograd::engine::evaluate_function: MeanBackward0         0.01%      65.000us         0.04%     320.000us      80.000us             4            --  
                                          MeanBackward0         0.01%      77.000us         0.04%     255.000us      63.750us             4            --  
                                           aten::expand         0.01%      47.000us         0.01%      56.000us      14.000us             4            --  
autograd::engine::evaluate_function: torch::autograd...         1.88%      13.501ms        10.25%      73.422ms      43.704us          1680            --  
                            torch::autograd::CopySlices         3.08%      22.098ms         8.37%      59.921ms      35.667us          1680            --  
                                aten::new_empty_strided         0.49%       3.516ms         0.76%       5.457ms       3.248us          1680            --  
                         torch::autograd::CopyBackwards         0.79%       5.631ms         1.77%      12.682ms       7.640us          1660            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.02%     123.000us         0.10%     697.000us      34.850us            20            --  
                                     AsStridedBackward0         0.04%     258.000us         0.07%     536.000us      26.800us            20            --  
                                          aten::squeeze         0.01%      93.000us         0.02%     115.000us       4.792us            24            --  
                                        aten::new_zeros         0.01%      65.000us         0.02%     112.000us       5.600us            20            --  
                                        aten::new_empty         0.00%      23.000us         0.01%      47.000us       2.350us            20            --  
                                           AddBackward0         0.05%     338.000us         0.05%     338.000us       0.070us          4852            --  
      autograd::engine::evaluate_function: MulBackward0         0.82%       5.882ms         4.24%      30.340ms      18.060us          1680            --  
                                           MulBackward0         0.78%       5.594ms         3.40%      24.328ms      14.481us          1680            --  
      autograd::engine::evaluate_function: PowBackward0         0.03%     206.000us         0.17%       1.212ms      30.300us            40            --  
                                           PowBackward0         0.04%     273.000us         0.14%       1.006ms      25.150us            40            --  
      autograd::engine::evaluate_function: SubBackward0         0.64%       4.586ms         0.65%       4.623ms       2.778us          1664            --  
                                           SubBackward0         0.00%       8.000us         0.00%       8.000us       0.005us          1664            --  
autograd::engine::evaluate_function: SelectBackward0...         0.01%      70.000us         0.12%     828.000us      17.250us            48            --  
                                        SelectBackward0         0.02%     158.000us         0.10%     699.000us      14.562us            48            --  
                                  aten::select_backward         0.03%     221.000us         0.08%     597.000us      12.438us            48            --  
    autograd::engine::evaluate_function: SliceBackward0         6.54%      46.854ms        43.37%     310.675ms      16.054us         19352            --  
                                         SliceBackward0         7.34%      52.549ms        33.08%     236.986ms      12.246us         19352            --  
                                   aten::slice_backward        11.54%      82.635ms        28.34%     202.972ms      10.488us         19352            --  
      autograd::engine::evaluate_function: AddBackward0         2.47%      17.662ms         2.51%      17.993ms       3.721us          4836            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             8            --  
                                          aten::detach_         0.00%       9.000us         0.00%      12.000us       1.500us             8            --  
                                                detach_         0.00%       4.000us         0.00%       4.000us       0.500us             8            --  
                                           aten::linear         0.01%      67.000us         0.07%     535.000us      66.875us             8            --  
                                                aten::t         0.01%      69.000us         0.01%     101.000us      12.625us             8            --  
                                        aten::transpose         0.02%     121.000us         0.02%     147.000us       6.125us            24            --  
                                           aten::matmul         0.01%      69.000us         0.05%     328.000us      41.000us             8            --  
                                        aten::unsqueeze         0.01%      43.000us         0.01%      57.000us       4.750us            12            --  
                                               aten::mm         0.02%     156.000us         0.02%     156.000us      19.500us             8            --  
                                         aten::squeeze_         0.01%      53.000us         0.01%      69.000us       8.625us             8            --  
                                      aten::as_strided_         0.00%      16.000us         0.00%      16.000us       2.000us             8            --  
                                             aten::rsub         0.02%     125.000us         0.05%     384.000us      19.200us            20            --  
                                             aten::sqrt         0.01%      70.000us         0.01%      70.000us       8.750us             8            --  
                                              aten::cat         0.01%      78.000us         0.01%      78.000us       3.900us            20            --  
                                           aten::conv2d         0.01%      48.000us         0.21%       1.502ms     125.167us            12       172.800  
                                      aten::convolution         0.02%     144.000us         0.20%       1.454ms     121.167us            12            --  
                                     aten::_convolution        -0.00%     -12.000us         0.18%       1.310ms     109.167us            12            --  
                                aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us            12            --  
                                      aten::thnn_conv2d         0.03%     180.000us         0.16%       1.123ms      93.583us            12            --  
                             aten::_slow_conv2d_forward         0.12%     833.000us         0.15%       1.085ms      90.417us            12            --  
                                             aten::view         0.02%     116.000us         0.02%     116.000us       2.900us            40            --  
                                          aten::resize_         0.00%      27.000us         0.00%      27.000us       1.688us            16            --  
                                          aten::reshape         0.02%     110.000us         0.02%     127.000us      15.875us             8            --  
                                   aten::_reshape_alias         0.00%      17.000us         0.00%      17.000us       2.125us             8            --  
                                             aten::relu         0.02%     126.000us         0.03%     228.000us      11.400us            20            --  
                                        aten::clamp_min         0.01%     102.000us         0.01%     102.000us       5.100us            20            --  
                                          aten::permute         0.02%     114.000us         0.02%     137.000us       8.562us            16            --  
                                             aten::lstm         0.03%     207.000us         3.33%      23.880ms       2.985ms             8            --  
                              aten::cudnn_is_acceptable         0.00%       0.000us         0.00%       0.000us       0.000us             8            --  
                                       aten::contiguous         0.00%      24.000us         0.02%     170.000us      14.167us            12            --  
                                 aten::mkldnn_rnn_layer         3.23%      23.142ms         3.24%      23.209ms       2.901ms             8            --  
                                            aten::stack         0.02%     125.000us         0.02%     178.000us      11.125us            16            --  
                                              aten::pad         0.00%      18.000us         0.02%     132.000us      33.000us             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 716.314ms



For N = 20 | Num optimizer steps = 4

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         5.95%      91.991ms         8.16%     126.146ms       2.617us         48210            --  
                                            aten::empty         2.53%      39.059ms         2.53%      39.059ms       0.690us         56607            --  
                                            aten::zero_         0.00%      32.000us         0.00%      32.000us       0.001us         52298            --  
                                              aten::add         4.40%      68.039ms         4.43%      68.448ms       4.523us         15134      6040.052  
                                               aten::to         1.07%      16.465ms         3.69%      57.120ms       4.166us         13711            --  
                                         aten::_to_copy         1.88%      29.038ms         3.09%      47.777ms       5.012us          9532            --  
                                    aten::empty_strided         0.93%      14.422ms         0.93%      14.422ms       1.054us         13689            --  
                                            aten::copy_         6.84%     105.804ms         6.84%     105.804ms       1.407us         75184            --  
                                              aten::div         0.01%     187.000us         0.02%     264.000us      10.560us            25            --  
                                            aten::slice        25.23%     390.020ms        25.96%     401.395ms       3.247us        123617            --  
                                       aten::as_strided         1.39%      21.415ms         1.39%      21.415ms       0.167us        128189            --  
                                           aten::select         0.08%       1.246ms         0.09%       1.325ms       4.302us           308            --  
                                            aten::clone         0.82%      12.734ms         1.65%      25.553ms       6.147us          4157            --  
                                              aten::sub         1.28%      19.798ms         1.31%      20.237ms       3.917us          5167            --  
                                              aten::mul         2.90%      44.849ms         7.01%     108.445ms      11.523us          9411      3678.576  
                                         aten::allclose         0.02%     311.000us         0.40%       6.173ms     112.236us            55            --  
                                          aten::isclose         0.08%       1.168ms         0.34%       5.245ms      95.364us            55            --  
                                               aten::eq         0.02%     330.000us         0.02%     330.000us       3.000us           110            --  
