For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::isclose         0.12%     811.000us         0.51%       3.509ms      87.725us            40            --  
                                               aten::eq         0.04%     251.000us         0.04%     251.000us       3.138us            80            --  
                                              aten::abs         0.08%     551.000us         0.11%     728.000us       3.033us           240            --  
                                         aten::isfinite         0.04%     251.000us         0.12%     809.000us      20.225us            40            --  
                                               aten::ne         0.03%     201.000us         0.05%     340.000us       8.500us            40            --  
                                               aten::le         0.02%     104.000us         0.02%     104.000us       2.600us            40            --  
                                         aten::__iand__         0.01%      64.000us         0.02%     154.000us       3.850us            40            --  
                                     aten::bitwise_and_         0.02%     103.000us         0.02%     103.000us       2.575us            40            --  
                                          aten::__ior__         0.01%      50.000us         0.01%     100.000us       2.500us            40            --  
                                      aten::bitwise_or_         0.01%      55.000us         0.01%      55.000us       1.375us            40            --  
                                              aten::all         0.05%     359.000us         0.05%     374.000us       9.350us            40            --  
                                            aten::fill_         0.00%       0.000us         0.00%       0.000us       0.000us            43            --  
                                             aten::item         0.01%      73.000us         0.01%      73.000us       1.659us            44            --  
                              aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us            44            --  
                                       aten::zeros_like         0.38%       2.641ms         0.69%       4.758ms       2.481us          1918            --  
                                       aten::empty_like         0.62%       4.267ms         0.66%       4.538ms       1.181us          3842            --  
                                               aten::lt         0.00%      33.000us         0.01%      72.000us       7.200us            10            --  
                                               aten::gt         0.00%      28.000us         0.01%      61.000us       6.100us            10            --  
                                              aten::pow         0.03%     185.000us         0.03%     191.000us       5.618us            34            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us            34            --  
                                             aten::add_         1.19%       8.134ms         1.19%       8.134ms       1.065us          7638            --  
                                             aten::mean         0.00%      22.000us         0.01%      58.000us      29.000us             2            --  
                                              aten::sum         0.00%      15.000us         0.00%      15.000us       7.500us             2            --  
                                             aten::div_         0.00%      12.000us         0.00%      21.000us      10.500us             2            --  
                                        aten::ones_like         0.00%       3.000us         0.00%       5.000us       5.000us             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.00%      18.000us         0.02%     140.000us     140.000us             1            --  
                                          MeanBackward0         0.01%      52.000us         0.02%     122.000us     122.000us             1            --  
                                           aten::expand         0.00%       9.000us         0.00%      12.000us      12.000us             1            --  
autograd::engine::evaluate_function: torch::autograd...         1.87%      12.855ms         9.82%      67.378ms      35.093us          1920            --  
                            torch::autograd::CopySlices         3.56%      24.403ms         7.94%      54.523ms      28.397us          1920            --  
