i,costIPOPT,minNetCost,minNetCostIndex,maxNetCost,maxNetCostIndex
208,0.1251344233751297,0.17395438253879547,90,5.2715301513671875,14
209,0.1417976021766662,0.1600530743598938,25,3411.056640625,1
210,0.0905417203903198,0.11616989225149155,99,193.90164184570312,0
211,0.089473471045494,0.18236593902111053,10,397.0145568847656,2
212,0.1312971711158752,2.440539598464966,97,555.589111328125,3
213,0.164719671010971,0.23943646252155304,16,38813.0234375,0
214,0.0407096520066261,0.1942550390958786,12,42.54241943359375,10
215,0.1560549288988113,1905.041015625,97,11438.2265625,0
216,0.1218090206384658,424.6565246582031,93,1875.63916015625,0
217,0.1280574351549148,0.14271694421768188,24,2682.215576171875,1
218,0.18796007335186,0.3228517472743988,99,2115.83837890625,0
219,0.1913256049156189,0.29644331336021423,99,3624.868408203125,0
220,0.1564177721738815,210.1117706298828,97,4510.978515625,0
221,0.1597719341516494,0.16653822362422943,99,112676.953125,0
222,0.1272134333848953,0.19444695115089417,10,11090.4931640625,0
223,0.1022664532065391,0.09666050225496292,99,80.29126739501953,6
224,0.0609294474124908,0.12818945944309235,9,31174.22265625,0
225,0.1418607234954834,0.1565321832895279,28,2546.515625,1
226,0.1024661362171173,0.11327684670686722,99,2309.8427734375,0
227,0.1943798065185547,0.2655287981033325,99,43.657684326171875,4
